loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
13992,1,3.34446,6.13E-05,1.11E-02,1.07E-03,1.0217609,1.68E-03,13.66,7.71E-01,4.789,1.77E-01,1.886,1.81E-01,1.56E+03,3.62E+02,5966,182,4.07,0.29,1.551,0.714
13993,1,0.599194,9.65E-06,1.42E-02,3.98E-03,1.3004489,6.41E-01,46.16,4.29E+01,1.641,9.23E-01,1.177,3.30E-01,1.84E+03,4.36E+02,5341,181,4.53,0.52,0.759,0.355
13994,2,0.596882,7.38E-06,1.47E-02,8.94E-03,2.3135169,4.74E+00,87.8,7.09E+02,1.992,8.21E-01,1.217,7.41E-01,1.85E+03,4.36E+02,5341,181,4.53,0.52,0.759,0.355
13995,1,0.979697,0.00E+00,1.27E-02,0.00E+00,2.1549454,0.00E+00,87.34,0.00E+00,3.5,0.00E+00,6.576,0.00E+00,4.43E+03,0.00E+00,7505,308,3.5,0.26,4.747,1.71
13996,2,0.848917,1.14E-05,4.13E-03,2.96E-03,2.0699375,6.29E+00,81.67,3.64E+02,3.002,2.73E+00,2.138,1.53E+00,4.65E+03,8.59E+02,7505,308,3.5,0.26,4.747,1.71
13997,1,4.08703,8.73E-05,9.91E-03,7.15E-04,1.0312142,6.29E-03,16.24,1.48E+00,6.034,2.28E-01,1.817,1.31E-01,1.74E+03,4.06E+02,7051,304,4.08,0.25,1.679,0.77
13998,2,4.08728,5.66E-05,6.97E-03,9.24E-04,1.4455249,5.08E-01,53.39,2.49E+01,11.24,3.25E+00,1.277,1.69E-01,1.74E+03,4.06E+02,7051,304,4.08,0.25,1.679,0.77
13999,3,4.08694,3.95E-05,7.42E-03,2.91E-03,2.0331851,3.54E+00,80.1,1.83E+02,14.51,7.57E+00,1.359,5.34E-01,1.74E+03,4.06E+02,7051,304,4.08,0.25,1.679,0.77
14000,1,0.67031,1.94E-05,6.59E-03,6.47E-03,1.0674277,7.93E-01,32.52,1.98E+02,2.163,1.09E+01,2.491,2.44E+00,4.61E+03,8.00E+02,7766,315,3.67,0.27,3.463,1.168
14001,2,0.670336,9.64E-06,1.02E-02,2.67E-03,1.0715181,2.16E-01,32.87,5.11E+01,2.193,2.69E+00,3.873,1.01E+00,4.61E+03,8.00E+02,7766,315,3.67,0.27,3.463,1.168
